bitumen_emulsion_content_percent,residual_bitumen_content_percent,theoretical_maximum_secific_gravity_gcc,bulk_specific_gravity_gcc,air_voids_percent,voids_in_mineral_aggregates-percent,flow_mm,dry_marshal_stability_kN,soaked_marshal_stabilty_kN,retained_marshal_stability_percent,dry_indirect_tensile_strength_kPa,soaked_indirect_tensile_strength_kPa,tensile_strength_ratio_percent,rutting_depth_mm,curing_days
6.53,3.98,2.525,2.083,17.47,27.41,5.61,4.33,3.15,72.66,203.6,133.5,65.33,12,1
7.03,4.28,2.514,2.088,16.92,27.53,4.48,4.45,3.38,75.92,207.42,137.33,66.18,10,1
7.53,4.6,2.503,2.133,14.83,26.15,4.32,5.08,3.86,75.96,212.31,145.23,68.41,8,1
8.03,4.89,2.491,2.176,12.63,24.57,4.15,4.87,3.64,74.68,211.69,148.67,70.21,8.5,1
8.53,5.2,2.48,2.188,11.73,24.34,4.09,4.55,3.42,75.21,211.83,148.4,69.93,9.5,1
