bitumen_emulsion_content_percent,residual_bitumen_content_percent,theoretical_maximum_secific_gravity_gcc,bulk_specific_gravity_gcc,air_voids_percent,voids_in_mineral_aggregates-percent,flow_mm,dry_marshal_stability_kN,soaked_marshal_stabilty_kN,retained_marshal_stability_percent,dry_indirect_tensile_strength_kPa,soaked_indirect_tensile_strength_kPa,tensile_strength_ratio_percent,rutting_depth_mm,curing_days
5.82,3.92,2.518,2.148,14.66,24.23,5.53,4.88,3.55,72.66,210.61,143.71,68.18,10,1
6.32,4.25,2.509,2.151,14.21,24.52,5.38,5.55,4.12,74.31,213.72,150.56,70.42,8,1
6.82,4.6,2.479,2.143,13.48,24.46,5.17,5.88,4.57,77.62,218.43,159.68,73.12,6,1
7.32,4.93,2.458,2.171,11.63,23.27,4.88,5.53,4.25,76.87,218.35,159.14,72.96,6.5,1
7.82,5.27,2.442,2.169,11.18,23.5,4.31,5.43,4.18,76.93,217.86,159.55,73.05,7.5,1
