bitumen_emulsion_content_percent,residual_bitumen_content_percent,theoretical_maximum_secific_gravity_gcc,bulk_specific_gravity_gcc,air_voids_percent,voids_in_mineral_aggregates-percent,flow_mm,dry_marshal_stability_kN,soaked_marshal_stabilty_kN,retained_marshal_stability_percent,dry_indirect_tensile_strength_kPa,soaked_indirect_tensile_strength_kPa,tensile_strength_ratio_percent,rutting_depth_mm,curing_days
6.53,3.98,2.525,2.046,18.97,28.91,6.82,4.28,3.01,70.27,192.31,120.15,62.48,13,1
7.03,4.28,2.514,2.083,17.14,27.75,5.39,4.62,3.36,72.64,198.6,125.64,63.27,11,1
7.53,4.6,2.503,2.212,15.26,26.58,5.06,5.11,3.85,75.34,208.59,139.85,66.92,9,1
8.03,4.89,2.491,2.169,12.93,24.87,4.77,5.03,3.78,75.18,206.82,135.51,65.33,9.5,1
8.53,5.2,2.48,2.175,12.29,24.9,4.32,4.88,3.65,74.83,205.47,129.96,63.18,10.5,1
