bitumen_emulsion_content_percent,residual_bitumen_content_percent,theoretical_maximum_secific_gravity_gcc,bulk_specific_gravity_gcc,air_voids_percent,voids_in_mineral_aggregates-percent,flow_mm,dry_marshal_stability_kN,soaked_marshal_stabilty_kN,retained_marshal_stability_percent,dry_indirect_tensile_strength_kPa,soaked_indirect_tensile_strength_kPa,tensile_strength_ratio_percent,rutting_depth_mm,curing_days
5.82,3.92,2.518,2.132,15.31,24.88,6.22,4.07,2.92,71.64,201.61,131.2,65.28,11,1
6.32,4.25,2.509,2.14,14.69,25,5.84,4.52,3.31,73.11,205.48,140.36,68.29,9,1
6.82,4.6,2.479,2.134,13.93,24.91,5.39,5.63,4.28,76.08,210.33,145.01,69.33,7,1
7.32,4.93,2.458,2.16,12.11,23.75,4.86,5.89,4.46,75.81,209.81,147.8,70.12,7.5,1
7.82,5.27,2.442,2.158,11.64,23.96,4.31,5.33,4.02,75.42,208.49,144.76,69.34,8.5,1
