bitumen_emulsion_content_percent,residual_bitumen_content_percent,theoretical_maximum_secific_gravity_gcc,bulk_specific_gravity_gcc,air_voids_percent,voids_in_mineral_aggregates-percent,flow_mm,dry_marshal_stability_kN,soaked_marshal_stabilty_kN,retained_marshal_stability_percent,dry_indirect_tensile_strength_kPa,soaked_indirect_tensile_strength_kPa,tensile_strength_ratio_percent,rutting_depth_mm,curing_days
6.1,3.95,2.525,2.115,16.25,25.93,7.03,3.36,2.29,68.31,186.48,110.02,59.08,14,1
6.6,4.27,2.514,2.122,15.61,25.99,6.68,3.94,2.76,70.12,190.32,117.93,61.54,12,1
7.1,4.6,2.504,2.149,14.18,25.3,6.32,4.51,3.3,73.09,193.51,124.87,64.38,10,1
7.6,4.92,2.492,2.158,13.39,25.19,5.75,4.42,3.32,75.13,192.97,122.96,63.43,10.5,1
8.1,5.24,2.481,2.164,12.79,25.26,5.41,4.03,2.79,69.22,191.63,118.97,62.07,11.5,1
